index,station name,station latitude,station longitude
491,E 72 St & Park Ave,40.77118287540658,-73.96409422159195
492,E 72 St & York Ave,40.76663814,-73.95348296
493,E 74 St & 1 Ave,40.7689738,-73.95482273
494,E 75 St & 3 Ave,40.77112927,-73.95772297
495,E 76 St & Park Ave,40.773763,-73.96222088
496,E 77 St & 3 Ave,40.77314236,-73.95856158
497,E 78 St & 2 Ave,40.7727966,-73.95577801
498,E 81 St & 2 Ave,40.77477944895728,-73.95427465438843
499,E 81 St & 3 Ave,40.77573034,-73.9567526
500,E 81 St & Park Ave,40.77677702,-73.9590097
